start,end,character,arousal,valence,direction,emotion,oncue,offcue
3788.0,3792.0,JENNY,LOW,NEG,OTHER,COMPASSION,FACE,EMOFADED
3793.0,3889.0,MAN,LOW,NEG,OTHER,REMORSE,VERBAL,CHARLEFT
3807.0,3832.0,FORREST,HIGH,NEG,OTHER,HATE,FACE,EMOCHANGE
3825.0,3847.0,JENNY,LOW,NEG,SELF,SADNESS,FACE,EMOCHANGE
3833.0,3837.0,FORREST,LOW,NEG,OTHER,DISAPPOINTMENT,FACE,EMOCHANGE
3838.0,3859.0,FORREST,LOW,POS,OTHER,GRATITUDE,GESTURE,EMOCHANGE
3848.0,3858.0,JENNY,LOW,POS,OTHER,ADMIRATION,CONTEXT,EMOCHANGE
3859.0,3863.0,JENNY,LOW,POS,OTHER,GRATITUDE,VERBAL,EMOCHANGE
3860.0,3885.0,FORREST,LOW,POS,OTHER,LOVE,VERBAL,EMOCHANGE
3864.0,3893.0,JENNY,LOW,POS,OTHER,LOVE,FACE,EMOCHANGE
3886.0,3890.0,FORREST,LOW,NEG,OTHER,HATE,FACE,EMOCHANGE
3891.0,3912.0,FORREST,LOW,NEG,OTHER,SADNESS,FACE,SCENEEND
3894.0,3905.0,JENNY,LOW,NEG,OTHER,SADNESS,FACE,CHARLEFT
3940.0,3942.0,FORREST,LOW,POS,SELF,GRATIFICATION,FACE,SCENEEND
3942.0,3958.0,FORRESTVO,LOW,POS,SELF,PRIDE,AUDIO VERBAL,SCENEEND
4009.0,4021.0,FORRESTVO,LOW,POS,OTHER,COMPASSION,AUDIO,SCENEEND
4009.0,4021.0,FORREST,LOW,POS,OTHER,ADMIRATION,FACE,SCENEEND
4021.0,4069.0,DAN,HIGH,NEG,OTHER,RESENTMENT,AUDIO,EMOCHANGE
4032.0,4039.0,FORREST,HIGH,POS,OTHER,HAPPINESS,FACE,EMOFADED
4070.0,4076.0,DAN,HIGH,NEG,SELF,FEAR,AUDIO,CHARLEFT
4077.0,4079.0,FORREST,HIGH,NEG,OTHER,FEAR,FACE,SCENEEND
4095.0,4097.0,DAN,LOW,NEG,OTHER,ANGERRAGE,AUDIO,EMOFADED
4095.0,4097.0,MAN,LOW,NEG,OTHER,ANGERRAGE,AUDIO,CHARLEFT
4104.0,4111.0,MAN,LOW,NEG,OTHER,CONTEMPT,GESTURE,CHARLEFT
4105.0,4112.0,DAN,HIGH,NEG,OTHER,ANGERRAGE,AUDIO,SCENEEND
4133.0,4139.0,DAN,LOW,NEG,SELF,SADNESS,AUDIO FACE,EMOCHANGE
4140.0,4145.0,DAN,HIGH,NEG,OTHER,GLOATING,AUDIO GESTURE FACE,EMOCHANGE
4146.0,4160.0,DAN,HIGH,NEG,SELF,RESENTMENT,AUDIO GESTURE FACE VERBAL,EMOCHANGE
4161.0,4195.0,DAN,HIGH,NEG,SELF,HATE,AUDIO GESTURE FACE,EMOCHANGE
